,Aeration rate(Fg:L/h),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),Oil flow(Foil:L/hr),Oxygen in percent in off-gas(O2:O2  (%))
1650,0.0,0.0,6.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,6.0,4.0,0.0,0.0,4.0,6.0
1651,0.0,0.0,5.0,2.0,6.0,0.0,0.0,6.0,4.0,0.0,4.0,6.0,0.0,0.0,5.0,6.0
1652,0.0,0.0,0.0,3.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,0.0,0.0,5.0,4.0
1653,0.0,6.0,6.0,6.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0
1654,0.0,0.0,0.0,4.0,6.0,0.0,1.0,2.0,4.0,0.0,5.0,6.0,0.0,0.0,6.0,5.0
1655,0.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,3.0,0.0,2.0,6.0,1.0,0.0,6.0,4.0
1656,1.0,0.0,0.0,5.0,6.0,0.0,6.0,2.0,5.0,1.0,0.0,6.0,1.0,0.0,6.0,4.0
1657,1.0,0.0,0.0,6.0,5.0,4.0,6.0,2.0,5.0,1.0,0.0,5.0,1.0,0.0,6.0,4.0
1658,1.0,1.0,0.0,6.0,1.0,6.0,6.0,2.0,6.0,1.0,0.0,1.0,2.0,0.0,6.0,4.0
1659,1.0,1.0,0.0,6.0,0.0,6.0,6.0,2.0,6.0,1.0,0.0,1.0,2.0,0.0,5.0,4.0
1660,1.0,2.0,0.0,6.0,0.0,6.0,6.0,2.0,6.0,1.0,0.0,1.0,3.0,0.0,5.0,2.0
1661,1.0,6.0,0.0,6.0,5.0,5.0,6.0,3.0,6.0,1.0,0.0,5.0,5.0,0.0,5.0,0.0
1662,1.0,5.0,0.0,6.0,5.0,1.0,6.0,2.0,6.0,2.0,0.0,4.0,6.0,0.0,4.0,0.0
1663,3.0,4.0,0.0,6.0,1.0,1.0,6.0,1.0,6.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0
1664,4.0,4.0,5.0,6.0,1.0,1.0,6.0,1.0,6.0,2.0,0.0,4.0,4.0,0.0,0.0,1.0
1665,4.0,4.0,6.0,5.0,1.0,1.0,4.0,1.0,5.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0
1666,4.0,4.0,0.0,5.0,0.0,1.0,4.0,1.0,5.0,3.0,5.0,2.0,4.0,0.0,0.0,1.0
1667,4.0,4.0,0.0,6.0,0.0,1.0,4.0,1.0,5.0,3.0,0.0,1.0,5.0,0.0,0.0,1.0
1668,4.0,4.0,0.0,6.0,0.0,1.0,4.0,1.0,5.0,3.0,6.0,1.0,5.0,0.0,0.0,1.0
1669,4.0,4.0,5.0,5.0,0.0,1.0,4.0,1.0,5.0,3.0,6.0,1.0,6.0,0.0,0.0,1.0
1670,4.0,4.0,0.0,6.0,0.0,1.0,4.0,1.0,4.0,4.0,0.0,1.0,5.0,0.0,0.0,2.0
1671,4.0,4.0,0.0,6.0,0.0,1.0,4.0,1.0,4.0,4.0,3.0,0.0,5.0,0.0,0.0,1.0
1672,4.0,4.0,6.0,5.0,0.0,1.0,4.0,1.0,4.0,4.0,6.0,0.0,5.0,0.0,0.0,2.0
1673,4.0,4.0,0.0,6.0,1.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0
1674,4.0,2.0,0.0,6.0,1.0,5.0,2.0,1.0,4.0,4.0,6.0,0.0,5.0,0.0,0.0,5.0
