Number of planted triclusters: 5
Tricluster coverage: 0.5262%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(368, 3, 3), X=[1,2,3,5,6,8,9,11,13,15,18,20,25,31,32,36,37,40,43,45,52,55,56,58,63,64,66,81,82,87,92,95,96,98,102,110,112,113,114,115,117,122,126,128,131,133,137,142,143,146,147,151,152,153,155,159,166,167,168,170,171,172,174,175,179,181,182,183,184,197,198,200,205,208,209,210,212,215,218,219,220,222,227,228,230,236,239,245,246,250,254,256,258,261,264,266,267,269,270,273,275,279,280,283,284,285,287,288,299,302,305,309,315,317,318,320,324,327,330,336,337,338,341,347,349,351,353,354,356,360,361,362,363,364,372,375,379,381,386,389,396,399,400,404,405,406,410,411,412,415,416,417,420,421,422,427,428,435,436,439,453,454,455,459,467,468,469,473,476,479,481,483,488,494,495,496,501,504,509,511,512,514,515,519,521,522,523,525,528,529,534,535,536,539,543,544,550,551,557,562,564,565,568,569,571,572,576,578,579,580,581,584,585,589,593,595,602,606,607,612,613,614,617,618,619,621,622,626,627,631,634,636,639,641,643,644,645,654,655,659,662,671,672,673,676,677,678,679,681,682,683,688,690,694,697,701,703,705,708,711,712,714,715,718,720,724,726,727,731,740,742,744,746,750,751,754,756,760,761,762,764,771,775,776,778,780,782,787,793,795,796,797,798,800,802,806,810,814,815,820,824,831,833,834,835,838,847,848,851,855,857,860,862,863,864,865,867,871,873,878,880,882,885,886,894,901,904,906,907,908,909,914,920,922,925,928,929,930,931,932,933,936,940,941,942,943,944,946,950,951,953,958,962,963,965,969,970,974,978,979,985,988,992,993,995,996,997,998], Y=[3,6,27], Z=[25,26,27], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 25
X	y3	y6	y27
x1	2	2	2
x2	2	2	2
x3	2	2	2
x5	2	2	2
x6	2	2	2
x8	2	2	2
x9	2	2	2
x11	2	2	2
x13	2	2	2
x15	2	2	2
x18	2	2	2
x20	2	2	2
x25	2	2	2
x31	2	2	2
x32	2	2	2
x36	2	2	2
x37	2	2	2
x40	2	2	2
x43	2	2	2
x45	2	2	2
x52	2	2	2
x55	2	2	2
x56	2	2	2
x58	2	2	2
x63	2	2	2
x64	2	2	2
x66	2	2	2
x81	2	2	2
x82	2	2	2
x87	2	2	2
x92	2	2	2
x95	2	2	2
x96	2	2	2
x98	2	2	2
x102	2	2	2
x110	2	2	2
x112	2	2	2
x113	2	2	2
x114	2	2	2
x115	2	2	2
x117	2	2	2
x122	2	2	2
x126	2	2	2
x128	2	2	2
x131	2	2	2
x133	2	2	2
x137	2	2	2
x142	2	2	2
x143	2	2	2
x146	2	2	2
x147	2	2	2
x151	2	2	2
x152	2	2	2
x153	2	2	2
x155	2	2	2
x159	2	2	2
x166	2	2	2
x167	2	2	2
x168	2	2	2
x170	2	2	2
x171	2	2	2
x172	2	2	2
x174	2	2	2
x175	2	2	2
x179	2	2	2
x181	2	2	2
x182	2	2	2
x183	2	2	2
x184	2	2	2
x197	2	2	2
x198	2	2	2
x200	2	2	2
x205	2	2	2
x208	2	2	2
x209	2	2	2
x210	2	2	2
x212	2	2	2
x215	2	2	2
x218	2	2	2
x219	2	2	2
x220	2	2	2
x222	2	2	2
x227	2	2	2
x228	2	2	2
x230	2	2	2
x236	2	2	2
x239	2	2	2
x245	2	2	2
x246	2	2	2
x250	2	2	2
x254	2	2	2
x256	2	2	2
x258	2	2	2
x261	2	2	2
x264	2	2	2
x266	2	2	2
x267	2	2	2
x269	2	2	2
x270	2	2	2
x273	2	2	2
x275	2	2	2
x279	2	2	2
