Number of planted triclusters: 5
Tricluster coverage: 0.3408%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(378, 3, 2), X=[2,3,6,12,13,15,16,17,18,19,21,25,27,32,34,46,48,53,54,55,58,59,60,62,63,64,67,69,76,79,81,85,87,90,95,96,98,100,102,103,104,105,106,108,110,112,115,116,121,122,123,125,126,128,129,130,131,133,134,136,137,139,143,145,147,149,150,154,155,160,161,162,165,168,171,172,176,178,181,186,190,191,194,196,198,199,200,201,202,207,208,209,211,215,219,222,223,225,227,229,230,234,235,240,242,243,244,245,250,251,253,259,260,261,263,264,265,266,269,270,283,289,291,293,294,296,299,305,306,312,313,318,323,324,325,328,329,330,333,334,339,344,347,348,349,355,356,358,359,362,368,372,373,375,377,378,380,387,390,391,396,402,405,407,408,412,415,422,423,425,426,428,433,434,435,442,446,450,455,457,458,459,460,466,467,470,473,476,477,480,482,485,486,488,489,492,496,498,503,507,509,514,516,517,518,519,520,522,523,525,526,527,529,534,537,538,545,551,554,563,566,569,572,575,577,578,579,581,582,587,591,593,596,600,604,605,606,610,611,617,618,621,625,627,628,629,635,640,641,653,655,663,664,665,668,671,672,674,676,677,679,680,682,683,686,691,693,696,699,703,704,705,706,707,708,709,710,711,713,714,719,722,723,724,726,727,728,733,735,739,741,743,744,748,750,751,752,757,759,763,764,765,767,768,773,775,778,782,784,787,796,799,802,803,806,808,811,815,816,821,822,824,825,828,832,833,835,840,842,848,849,852,856,858,867,869,870,874,877,878,880,881,882,883,888,894,897,904,907,909,912,914,919,922,926,932,934,935,937,941,948,953,955,958,960,966,967,969,971,973,979,984,986,991,992,993,994,999], Y=[13,15,44], Z=[36,37], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 36
X	y13	y15	y44
x2	4	4	4
x3	4	4	4
x6	4	4	4
x12	4	4	4
x13	4	4	4
x15	4	4	4
x16	4	4	4
x17	4	4	4
x18	4	4	4
x19	4	4	4
x21	4	4	4
x25	4	4	4
x27	4	4	4
x32	4	4	4
x34	4	4	4
x46	4	4	4
x48	4	4	4
x53	4	4	4
x54	4	4	4
x55	4	4	4
x58	4	4	4
x59	4	4	4
x60	4	4	4
x62	4	4	4
x63	4	4	4
x64	4	4	4
x67	4	4	4
x69	4	4	4
x76	4	4	4
x79	4	4	4
x81	4	4	4
x85	4	4	4
x87	4	4	4
x90	4	4	4
x95	4	4	4
x96	4	4	4
x98	4	4	4
x100	4	4	4
x102	4	4	4
x103	4	4	4
x104	4	4	4
x105	4	4	4
x106	4	4	4
x108	4	4	4
x110	4	4	4
x112	4	4	4
x115	4	4	4
x116	4	4	4
x121	4	4	4
x122	4	4	4
x123	4	4	4
x125	4	4	4
x126	4	4	4
x128	4	4	4
x129	4	4	4
x130	4	4	4
x131	4	4	4
x133	4	4	4
x134	4	4	4
x136	4	4	4
x137	4	4	4
x139	4	4	4
x143	4	4	4
x145	4	4	4
x147	4	4	4
x149	4	4	4
x150	4	4	4
x154	4	4	4
x155	4	4	4
x160	4	4	4
x161	4	4	4
x162	4	4	4
x165	4	4	4
x168	4	4	4
x171	4	4	4
x172	4	4	4
x176	4	4	4
x178	4	4	4
x181	4	4	4
x186	4	4	4
x190	4	4	4
x191	4	4	4
x194	4	4	4
x196	4	4	4
x198	4	4	4
x199	4	4	4
x200	4	4	4
x201	4	4	4
x202	4	4	4
x207	4	4	4
x208	4	4	4
x209	4	4	4
x211	4	4	4
x215	4	4	4
x219	4	4	4
x222	4	4	4
x223	4	4	4
x225	4	4	4
x227	4	4	4
x229	4	4	4
x230	4	4	4
x234	4	4	4
x235	4	4	4
x240	4	4	4
x242	4	4	4
x243	4	4	4
x244	4	4	4
x245	4	4	4
x250	4	4	4
x251	4	4	4
x253	4	4	4
x259	4	4	4
x260	4	4	4
x261	4	4	4
x263	4	4	4
x264	4	4	4
x265	4	4	4
x266	4	4	4
x269	4	4	4
x270	4	4	4
x283	4	4	4
x289	4	4	4
x291	4	4	4
x293	4	4	4
x294	4	4	4
x296	4	4	4
x299	4	4	4
x305	4	4	4
x306	4	4	4
x312	4	4	4
x313	4	4	4
x318	4	4	4
x323	4	4	4
x324	4	4	4
x325	4	4	4
x328	4	4	4
x329	4	4	4
x330	4	4	4
x333	4	4	4
x334	4	4	4
x339	4	4	4
x344	4	4	4
x347	4	4	4
x348	4	4	4
x349	4	4	4
x355	4	4	4
x356	4	4	4
x358	4	4	4
x359	4	4	4
x362	4	4	4
x368	4	4	4
x372	4	4	4
x373	4	4	4
x375	4	4	4
x377	4	4	4
x378	4	4	4
x380	4	4	4
x387	4	4	4
x390	4	4	4
x391	4	4	4
x396	4	4	4
x402	4	4	4
x405	4	4	4
x407	4	4	4
x408	4	4	4
x412	4	4	4
x415	4	4	4
x422	4	4	4
x423	4	4	4
x425	4	4	4
x426	4	4	4
x428	4	4	4
x433	4	4	4
x434	4	4	4
x435	4	4	4
x442	4	4	4
x446	4	4	4
x450	4	4	4
x455	4	4	4
x457	4	4	4
x458	4	4	4
x459	4	4	4
x460	4	4	4
x466	4	4	4
x467	4	4	4
x470	4	4	4
x473	4	4	4
x476	4	4	4
x477	4	4	4
x480	4	4	4
x482	4	4	4
x485	4	4	4
x486	4	4	4
