Number of planted triclusters: 5
Tricluster coverage: 0.3174%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(101, 3, 3), X=[12,48,55,63,65,67,79,85,87,98,99,100,103,125,128,134,135,138,162,167,199,234,270,271,273,295,302,303,305,327,337,353,366,374,382,384,387,406,414,420,423,425,429,432,440,445,451,471,479,483,486,533,540,544,545,551,552,565,577,599,601,604,605,611,630,665,669,678,685,687,693,695,714,728,744,746,758,765,773,794,797,809,818,828,847,875,877,879,887,890,900,901,911,913,915,919,958,966,981,986,997], Y=[13,35,40], Z=[4,5,6], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 4
X	y13	y35	y40
x12	2	2	2
x48	2	2	2
x55	2	2	2
x63	2	2	2
x65	2	2	2
x67	2	2	2
x79	2	2	2
x85	2	2	2
x87	2	2	2
x98	2	2	2
x99	2	2	2
x100	2	2	2
x103	2	2	2
x125	2	2	2
x128	2	2	2
x134	2	2	2
x135	2	2	2
x138	2	2	2
x162	2	2	2
x167	2	2	2
x199	2	2	2
x234	2	2	2
x270	2	2	2
x271	2	2	2
x273	2	2	2
x295	2	2	2
x302	2	2	2
x303	2	2	2
x305	2	2	2
x327	2	2	2
x337	2	2	2
x353	2	2	2
x366	2	2	2
x374	2	2	2
x382	2	2	2
x384	2	2	2
x387	2	2	2
x406	2	2	2
x414	2	2	2
x420	2	2	2
x423	2	2	2
x425	2	2	2
x429	2	2	2
x432	2	2	2
x440	2	2	2
x445	2	2	2
x451	2	2	2
x471	2	2	2
x479	2	2	2
x483	2	2	2
x486	2	2	2
x533	2	2	2
x540	2	2	2
x544	2	2	2
x545	2	2	2
x551	2	2	2
x552	2	2	2
x565	2	2	2
x577	2	2	2
x599	2	2	2
x601	2	2	2
x604	2	2	2
x605	2	2	2
x611	2	2	2
x630	2	2	2
x665	2	2	2
x669	2	2	2
x678	2	2	2
x685	2	2	2
x687	2	2	2
x693	2	2	2
x695	2	2	2
x714	2	2	2
x728	2	2	2
x744	2	2	2
x746	2	2	2
x758	2	2	2
x765	2	2	2
x773	2	2	2
x794	2	2	2
x797	2	2	2
x809	2	2	2
x818	2	2	2
x828	2	2	2
x847	2	2	2
x875	2	2	2
x877	2	2	2
x879	2	2	2
x887	2	2	2
x890	2	2	2
x900	2	2	2
x901	2	2	2
x911	2	2	2
x913	2	2	2
x915	2	2	2
x919	2	2	2
x958	2	2	2
x966	2	2	2
x981	2	2	2
x986	2	2	2
x997	2	2	2

Context: 5
X	y13	y35	y40
x12	2	2	2
x48	2	2	2
x55	2	2	2
x63	2	2	2
x65	2	2	2
x67	2	2	2
x79	2	2	2
x85	2	2	2
x87	2	2	2
x98	2	2	2
x99	2	2	2
x100	2	2	2
x103	2	2	2
x125	2	2	2
x128	2	2	2
x134	2	2	2
x135	2	2	2
x138	2	2	2
x162	2	2	2
x167	2	2	2
x199	2	2	2
x234	2	2	2
x270	2	2	2
x271	2	2	2
x273	2	2	2
x295	2	2	2
x302	2	2	2
x303	2	2	2
x305	2	2	2
x327	2	2	2
x337	2	2	2
x353	2	2	2
x366	2	2	2
x374	2	2	2
x382	2	2	2
x384	2	2	2
x387	2	2	2
x406	2	2	2
x414	2	2	2
x420	2	2	2
x423	2	2	2
x425	2	2	2
x429	2	2	2
x432	2	2	2
x440	2	2	2
x445	2	2	2
x451	2	2	2
x471	2	2	2
x479	2	2	2
x483	2	2	2
x486	2	2	2
x533	2	2	2
x540	2	2	2
x544	2	2	2
x545	2	2	2
x551	2	2	2
x552	2	2	2
x565	2	2	2
x577	2	2	2
x599	2	2	2
x601	2	2	2
x604	2	2	2
x605	2	2	2
x611	2	2	2
x630	2	2	2
x665	2	2	2
x669	2	2	2
x678	2	2	2
x685	2	2	2
x687	2	2	2
x693	2	2	2
x695	2	2	2
x714	2	2	2
x728	2	2	2
x744	2	2	2
x746	2	2	2
x758	2	2	2
x765	2	2	2
x773	2	2	2
x794	2	2	2
x797	2	2	2
x809	2	2	2
x818	2	2	2
x828	2	2	2
x847	2	2	2
x875	2	2	2
x877	2	2	2
x879	2	2	2
x887	2	2	2
x890	2	2	2
x900	2	2	2
x901	2	2	2
x911	2	2	2
x913	2	2	2
x915	2	2	2
x919	2	2	2
x958	2	2	2
x966	2	2	2
x981	2	2	2
x986	2	2	2
x997	2	2	2

Context: 6
X	y13	y35	y40
x12	2	2	2
x48	2	2	2
x55	2	2	2
x63	2	2	2
x65	2	2	2
