Number of planted triclusters: 5
Tricluster coverage: 0.30928%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(205, 2, 3), X=[1,2,6,11,22,34,46,48,49,51,52,56,60,75,86,92,93,114,115,116,123,126,128,157,168,169,171,176,177,178,180,181,193,215,216,218,220,224,242,243,249,250,256,258,262,269,270,277,281,292,293,295,298,302,306,311,315,318,320,327,329,332,336,337,340,341,350,359,363,364,373,376,380,381,382,383,411,413,422,428,433,439,447,448,451,453,463,464,466,487,492,493,497,498,504,505,519,522,527,531,532,533,534,536,541,548,549,551,554,556,560,561,568,570,574,576,577,585,586,588,590,591,597,602,605,612,617,621,623,624,628,630,646,651,669,670,673,679,683,687,689,691,697,700,703,713,714,723,728,729,731,736,740,745,746,747,766,778,780,781,785,786,791,793,794,796,799,802,805,808,812,820,822,825,840,844,851,852,859,882,893,894,898,902,912,915,921,926,927,929,930,931,933,934,937,939,942,947,952,957,962,963,978,989,994], Y=[1,42], Z=[1,7,19], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 1
X	y1	y42
x1	0	0
x2	0	0
x6	0	0
x11	0	0
x22	0	0
x34	0	0
x46	0	0
x48	0	0
x49	0	0
x51	0	0
x52	0	0
x56	0	0
x60	0	0
x75	0	0
x86	0	0
x92	0	0
x93	0	0
x114	0	0
x115	0	0
x116	0	0
x123	0	0
x126	0	0
x128	0	0
x157	0	0
x168	0	0
x169	0	0
x171	0	0
x176	0	0
x177	0	0
x178	0	0
x180	0	0
x181	0	0
x193	0	0
x215	0	0
x216	0	0
x218	0	0
x220	0	0
x224	0	0
x242	0	0
x243	0	0
x249	0	0
x250	0	0
x256	0	0
x258	0	0
x262	0	0
x269	0	0
x270	0	0
x277	0	0
x281	0	0
x292	0	0
x293	0	0
x295	0	0
x298	0	0
x302	0	0
x306	0	0
x311	0	0
x315	0	0
x318	0	0
x320	0	0
x327	0	0
x329	0	0
x332	0	0
x336	0	0
x337	0	0
x340	0	0
x341	0	0
x350	0	0
x359	0	0
x363	0	0
x364	0	0
x373	0	0
x376	0	0
x380	0	0
x381	0	0
x382	0	0
x383	0	0
x411	0	0
x413	0	0
x422	0	0
x428	0	0
x433	0	0
x439	0	0
x447	0	0
x448	0	0
x451	0	0
x453	0	0
x463	0	0
x464	0	0
x466	0	0
x487	0	0
x492	0	0
x493	0	0
x497	0	0
x498	0	0
x504	0	0
x505	0	0
x519	0	0
x522	0	0
x527	0	0
x531	0	0
x532	0	0
x533	0	0
x534	0	0
x536	0	0
x541	0	0
x548	0	0
x549	0	0
x551	0	0
x554	0	0
x556	0	0
x560	0	0
x561	0	0
x568	0	0
x570	0	0
x574	0	0
x576	0	0
x577	0	0
x585	0	0
x586	0	0
x588	0	0
x590	0	0
x591	0	0
x597	0	0
x602	0	0
x605	0	0
x612	0	0
x617	0	0
x621	0	0
x623	0	0
x624	0	0
x628	0	0
x630	0	0
x646	0	0
x651	0	0
x669	0	0
x670	0	0
x673	0	0
x679	0	0
x683	0	0
x687	0	0
x689	0	0
x691	0	0
x697	0	0
x700	0	0
x703	0	0
x713	0	0
x714	0	0
x723	0	0
x728	0	0
x729	0	0
x731	0	0
x736	0	0
x740	0	0
x745	0	0
x746	0	0
x747	0	0
x766	0	0
x778	0	0
x780	0	0
x781	0	0
x785	0	0
x786	0	0
x791	0	0
x793	0	0
x794	0	0
x796	0	0
x799	0	0
x802	0	0
x805	0	0
x808	0	0
x812	0	0
x820	0	0
x822	0	0
x825	0	0
x840	0	0
x844	0	0
x851	0	0
x852	0	0
x859	0	0
x882	0	0
x893	0	0
x894	0	0
x898	0	0
x902	0	0
x912	0	0
x915	0	0
x921	0	0
x926	0	0
x927	0	0
x929	0	0
x930	0	0
x931	0	0
x933	0	0
x934	0	0
x937	0	0
x939	0	0
x942	0	0
x947	0	0
x952	0	0
x957	0	0
x962	0	0
x963	0	0
x978	0	0
x989	0	0
x994	0	0

Context: 7
X	y1	y42
x1	0	0
x2	0	0
x6	0	0
x11	0	0
x22	0	0
x34	0	0
x46	0	0
x48	0	0
x49	0	0
x51	0	0
x52	0	0
x56	0	0
x60	0	0
x75	0	0
x86	0	0
x92	0	0
x93	0	0
x114	0	0
x115	0	0
x116	0	0
x123	0	0
x126	0	0
x128	0	0
x157	0	0
x168	0	0
x169	0	0
x171	0	0
x176	0	0
x177	0	0
x178	0	0
x180	0	0
x181	0	0
x193	0	0
x215	0	0
x216	0	0
x218	0	0
x220	0	0
x224	0	0
x242	0	0
x243	0	0
x249	0	0
x250	0	0
x256	0	0
x258	0	0
x262	0	0
x269	0	0
x270	0	0
x277	0	0
x281	0	0
x292	0	0
x293	0	0
x295	0	0
x298	0	0
x302	0	0
x306	0	0
x311	0	0
x315	0	0
x318	0	0
x320	0	0
x327	0	0
x329	0	0
x332	0	0
x336	0	0
x337	0	0
x340	0	0
x341	0	0
x350	0	0
x359	0	0
x363	0	0
x364	0	0
x373	0	0
x376	0	0
x380	0	0
x381	0	0
x382	0	0
x383	0	0
x411	0	0
x413	0	0
x422	0	0
x428	0	0
x433	0	0
x439	0	0
x447	0	0
x448	0	0
x451	0	0
x453	0	0
x463	0	0
x464	0	0
x466	0	0
x487	0	0
x492	0	0
x493	0	0
x497	0	0
x498	0	0
x504	0	0
x505	0	0
x519	0	0
x522	0	0
x527	0	0
x531	0	0
x532	0	0
x533	0	0
x534	0	0
x536	0	0
x541	0	0
x548	0	0
x549	0	0
x551	0	0
x554	0	0
x556	0	0
x560	0	0
x561	0	0
x568	0	0
x570	0	0
x574	0	0
x576	0	0
x577	0	0
x585	0	0
x586	0	0
x588	0	0
x590	0	0
x591	0	0
x597	0	0
x602	0	0
x605	0	0
x612	0	0
x617	0	0
