Number of planted triclusters: 5
Tricluster coverage: 0.35268%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(446, 2, 3), X=[1,3,7,8,14,15,16,19,20,24,25,27,29,31,32,34,36,37,45,47,48,50,53,55,58,59,60,61,63,66,71,75,76,83,86,90,91,92,94,95,97,98,102,104,105,109,111,113,117,122,123,127,131,137,139,143,146,151,153,156,157,158,164,165,168,169,170,171,174,177,178,180,181,182,183,188,190,192,193,196,198,201,205,206,207,213,214,220,222,224,225,226,227,228,229,231,232,235,238,240,243,246,247,248,251,252,255,258,260,261,262,265,268,269,270,272,273,275,276,277,279,280,281,282,284,285,293,294,298,299,301,302,306,310,313,315,316,319,320,321,325,327,331,332,334,335,337,338,339,340,341,342,343,345,351,358,360,361,366,368,369,370,371,373,374,377,378,381,383,384,388,390,392,393,394,398,400,401,402,404,405,406,407,408,412,413,415,418,419,420,423,424,425,426,427,429,432,434,435,440,441,443,444,448,451,452,453,458,460,461,469,471,472,473,480,483,484,486,487,493,494,495,496,498,500,501,502,505,506,509,510,511,512,513,515,516,517,519,520,521,522,524,526,529,530,532,534,535,536,538,539,540,541,542,543,546,552,553,557,558,559,561,562,565,567,574,578,579,581,584,587,589,590,591,592,593,595,596,597,598,601,604,607,609,614,615,617,618,619,622,623,624,625,626,627,629,630,633,634,636,638,640,643,644,647,649,650,652,661,662,664,665,666,667,669,675,679,681,686,689,690,691,693,694,695,697,699,700,701,703,706,708,709,711,713,716,727,728,733,734,736,737,742,745,747,748,749,751,753,755,756,760,762,767,771,775,776,777,783,784,785,788,790,791,793,795,796,797,799,800,802,807,812,817,819,821,822,823,827,829,831,832,833,840,841,849,852,853,854,855,859,861,862,863,868,876,877,880,886,889,890,892,895,899,900,901,904,905,906,910,911,914,915,917,920,921,924,926,928,930,933,937,938,940,944,952,953,954,957,958,959,961,963,965,966,969,970,972,976,980,981,983,984,985,989,997], Y=[37,48], Z=[11,20,31], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 11
X	y37	y48
x1	2	2
x3	2	2
x7	2	2
x8	2	2
x14	2	2
x15	2	2
x16	2	2
x19	2	2
x20	2	2
x24	2	2
x25	2	2
x27	2	2
x29	2	2
x31	2	2
x32	2	2
x34	2	2
x36	2	2
x37	2	2
x45	2	2
x47	2	2
x48	2	2
x50	2	2
x53	2	2
x55	2	2
x58	2	2
x59	2	2
x60	2	2
x61	2	2
x63	2	2
x66	2	2
x71	2	2
x75	2	2
x76	2	2
x83	2	2
x86	2	2
x90	2	2
x91	2	2
x92	2	2
x94	2	2
x95	2	2
x97	2	2
x98	2	2
x102	2	2
x104	2	2
x105	2	2
x109	2	2
x111	2	2
x113	2	2
x117	2	2
x122	2	2
x123	2	2
x127	2	2
x131	2	2
x137	2	2
x139	2	2
x143	2	2
x146	2	2
x151	2	2
x153	2	2
x156	2	2
x157	2	2
x158	2	2
x164	2	2
x165	2	2
x168	2	2
x169	2	2
x170	2	2
x171	2	2
x174	2	2
x177	2	2
x178	2	2
x180	2	2
x181	2	2
x182	2	2
x183	2	2
x188	2	2
x190	2	2
x192	2	2
x193	2	2
x196	2	2
x198	2	2
x201	2	2
x205	2	2
x206	2	2
x207	2	2
x213	2	2
x214	2	2
x220	2	2
x222	2	2
x224	2	2
x225	2	2
x226	2	2
x227	2	2
x228	2	2
x229	2	2
x231	2	2
x232	2	2
x235	2	2
x238	2	2
x240	2	2
x243	2	2
x246	2	2
x247	2	2
x248	2	2
x251	2	2
x252	2	2
x255	2	2
x258	2	2
x260	2	2
x261	2	2
x262	2	2
x265	2	2
x268	2	2
x269	2	2
x270	2	2
x272	2	2
x273	2	2
x275	2	2
x276	2	2
x277	2	2
x279	2	2
x280	2	2
x281	2	2
x282	2	2
x284	2	2
x285	2	2
x293	2	2
x294	2	2
x298	2	2
x299	2	2
x301	2	2
x302	2	2
x306	2	2
x310	2	2
x313	2	2
x315	2	2
x316	2	2
x319	2	2
x320	2	2
x321	2	2
x325	2	2
x327	2	2
x331	2	2
x332	2	2
x334	2	2
x335	2	2
x337	2	2
x338	2	2
x339	2	2
x340	2	2
x341	2	2
x342	2	2
x343	2	2
