Number of planted triclusters: 5
Tricluster coverage: 0.30204%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(444, 3, 2), X=[0,1,3,5,7,11,12,13,15,16,21,25,30,32,35,38,40,46,47,48,49,50,51,57,60,68,71,73,74,75,76,79,80,91,93,94,95,97,98,99,103,104,105,106,107,110,113,114,117,118,119,120,123,125,128,131,136,137,139,140,141,142,146,148,149,151,154,157,159,160,161,163,165,169,174,175,176,177,180,184,188,189,191,192,196,197,198,200,202,209,211,212,215,221,222,224,225,228,230,231,232,237,241,244,247,248,249,250,251,252,253,256,257,258,260,261,262,264,265,267,270,272,275,276,281,282,283,284,285,286,291,293,295,296,297,300,303,304,305,306,307,308,309,311,312,313,315,319,320,321,323,327,328,330,335,336,337,347,350,352,354,358,359,362,363,364,366,367,369,370,374,377,379,380,381,382,383,384,385,387,388,389,390,391,394,395,397,403,404,405,410,411,415,416,424,426,427,428,430,436,439,441,444,450,452,453,455,456,458,459,461,468,470,471,472,473,474,478,480,486,489,493,494,499,502,503,504,505,507,510,512,514,516,519,520,521,526,527,531,534,535,540,542,543,547,548,549,550,551,552,557,564,565,568,571,572,573,574,575,578,585,586,587,589,593,597,598,599,602,605,607,608,609,610,613,614,617,620,623,624,625,626,627,628,634,637,639,641,643,645,647,648,649,651,652,662,664,670,674,676,677,678,681,682,683,685,687,689,695,697,699,700,705,708,716,718,719,720,721,723,725,727,728,735,736,738,740,741,742,744,746,747,748,750,751,755,756,762,764,768,769,770,772,774,777,778,782,784,787,792,794,795,798,799,802,805,808,812,813,814,818,823,833,834,835,836,839,842,844,845,846,851,854,855,856,859,864,868,870,871,873,875,877,878,881,882,883,886,889,891,896,897,904,906,908,909,912,913,914,915,917,919,920,921,923,925,927,930,932,936,937,938,941,942,943,945,947,948,949,952,953,955,956,957,960,961,963,964,965,966,967,973,978,980,983,984,987,989,991,993,994,997,998,999], Y=[10,30,47], Z=[3,8], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 3
X	y10	y30	y47
x0	3	3	3
x1	3	3	3
x3	3	3	3
x5	3	3	3
x7	3	3	3
x11	3	3	3
x12	3	3	3
x13	3	3	3
x15	3	3	3
x16	3	3	3
x21	3	3	3
x25	3	3	3
x30	3	3	3
x32	3	3	3
x35	3	3	3
x38	3	3	3
x40	3	3	3
x46	3	3	3
x47	3	3	3
x48	3	3	3
x49	3	3	3
x50	3	3	3
x51	3	3	3
x57	3	3	3
x60	3	3	3
x68	3	3	3
x71	3	3	3
x73	3	3	3
x74	3	3	3
x75	3	3	3
x76	3	3	3
x79	3	3	3
x80	3	3	3
x91	3	3	3
x93	3	3	3
x94	3	3	3
x95	3	3	3
x97	3	3	3
x98	3	3	3
x99	3	3	3
x103	3	3	3
x104	3	3	3
x105	3	3	3
x106	3	3	3
x107	3	3	3
x110	3	3	3
x113	3	3	3
x114	3	3	3
x117	3	3	3
x118	3	3	3
x119	3	3	3
x120	3	3	3
x123	3	3	3
x125	3	3	3
x128	3	3	3
x131	3	3	3
x136	3	3	3
x137	3	3	3
x139	3	3	3
x140	3	3	3
x141	3	3	3
x142	3	3	3
x146	3	3	3
x148	3	3	3
x149	3	3	3
x151	3	3	3
x154	3	3	3
x157	3	3	3
x159	3	3	3
x160	3	3	3
x161	3	3	3
x163	3	3	3
x165	3	3	3
x169	3	3	3
x174	3	3	3
x175	3	3	3
x176	3	3	3
x177	3	3	3
x180	3	3	3
x184	3	3	3
x188	3	3	3
x189	3	3	3
x191	3	3	3
x192	3	3	3
x196	3	3	3
x197	3	3	3
x198	3	3	3
x200	3	3	3
x202	3	3	3
x209	3	3	3
x211	3	3	3
x212	3	3	3
x215	3	3	3
x221	3	3	3
x222	3	3	3
x224	3	3	3
x225	3	3	3
x228	3	3	3
x230	3	3	3
x231	3	3	3
x232	3	3	3
x237	3	3	3
x241	3	3	3
x244	3	3	3
x247	3	3	3
x248	3	3	3
x249	3	3	3
x250	3	3	3
x251	3	3	3
x252	3	3	3
x253	3	3	3
x256	3	3	3
x257	3	3	3
x258	3	3	3
x260	3	3	3
x261	3	3	3
x262	3	3	3
x264	3	3	3
x265	3	3	3
x267	3	3	3
x270	3	3	3
x272	3	3	3
x275	3	3	3
x276	3	3	3
x281	3	3	3
x282	3	3	3
x283	3	3	3
x284	3	3	3
x285	3	3	3
x286	3	3	3
x291	3	3	3
x293	3	3	3
x295	3	3	3
x296	3	3	3
x297	3	3	3
x300	3	3	3
x303	3	3	3
x304	3	3	3
x305	3	3	3
x306	3	3	3
x307	3	3	3
x308	3	3	3
x309	3	3	3
x311	3	3	3
x312	3	3	3
x313	3	3	3
x315	3	3	3
x319	3	3	3
x320	3	3	3
x321	3	3	3
x323	3	3	3
x327	3	3	3
x328	3	3	3
x330	3	3	3
x335	3	3	3
x336	3	3	3
x337	3	3	3
x347	3	3	3
x350	3	3	3
x352	3	3	3
x354	3	3	3
x358	3	3	3
x359	3	3	3
x362	3	3	3
x363	3	3	3
x364	3	3	3
x366	3	3	3
x367	3	3	3
x369	3	3	3
x370	3	3	3
x374	3	3	3
