Number of planted triclusters: 5
Tricluster coverage: 0.42984%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(279, 2, 3), X=[4,9,22,24,28,31,36,37,44,46,47,48,53,54,58,59,60,64,66,70,73,79,86,95,96,97,98,102,116,117,120,126,130,131,132,134,135,144,145,152,155,157,158,163,165,168,170,175,177,178,182,187,188,193,204,209,210,214,215,221,223,227,229,234,236,237,238,239,241,244,245,246,254,255,268,270,272,275,276,277,279,280,286,296,301,304,306,311,313,314,315,327,330,337,340,341,342,344,349,352,358,359,361,362,363,366,368,370,382,386,388,390,391,395,397,398,400,403,405,408,410,412,416,432,433,437,438,440,441,442,448,449,454,455,461,464,470,477,480,487,490,501,502,506,507,508,513,518,525,530,531,537,538,539,547,548,559,565,567,569,574,579,580,586,591,597,602,605,606,610,611,613,618,621,623,626,633,634,636,637,639,641,646,649,651,658,659,662,667,668,669,680,683,687,690,694,705,706,708,712,713,724,732,734,739,743,746,749,754,763,765,770,772,777,778,781,783,784,786,790,798,799,803,806,807,808,811,815,824,825,830,831,832,833,835,839,846,850,859,868,873,880,886,888,892,893,894,896,897,901,902,903,904,920,921,922,924,930,932,934,938,941,942,945,946,948,949,952,954,957,959,961,964,966,968,971,986,987,997], Y=[4,36], Z=[11,12,13], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 11
X	y4	y36
x4	2	2
x9	2	2
x22	2	2
x24	2	2
x28	2	2
x31	2	2
x36	2	2
x37	2	2
x44	2	2
x46	2	2
x47	2	2
x48	2	2
x53	2	2
x54	2	2
x58	2	2
x59	2	2
x60	2	2
x64	2	2
x66	2	2
x70	2	2
x73	2	2
x79	2	2
x86	2	2
x95	2	2
x96	2	2
x97	2	2
x98	2	2
x102	2	2
x116	2	2
x117	2	2
x120	2	2
x126	2	2
x130	2	2
x131	2	2
x132	2	2
x134	2	2
x135	2	2
x144	2	2
x145	2	2
x152	2	2
x155	2	2
x157	2	2
x158	2	2
x163	2	2
x165	2	2
x168	2	2
x170	2	2
x175	2	2
x177	2	2
x178	2	2
x182	2	2
x187	2	2
x188	2	2
x193	2	2
x204	2	2
x209	2	2
x210	2	2
x214	2	2
x215	2	2
x221	2	2
x223	2	2
x227	2	2
x229	2	2
x234	2	2
x236	2	2
x237	2	2
x238	2	2
x239	2	2
x241	2	2
x244	2	2
x245	2	2
x246	2	2
x254	2	2
x255	2	2
x268	2	2
x270	2	2
x272	2	2
x275	2	2
x276	2	2
x277	2	2
x279	2	2
x280	2	2
x286	2	2
x296	2	2
x301	2	2
x304	2	2
x306	2	2
x311	2	2
x313	2	2
x314	2	2
x315	2	2
x327	2	2
x330	2	2
x337	2	2
x340	2	2
x341	2	2
x342	2	2
x344	2	2
x349	2	2
x352	2	2
x358	2	2
x359	2	2
x361	2	2
x362	2	2
x363	2	2
x366	2	2
x368	2	2
x370	2	2
x382	2	2
x386	2	2
x388	2	2
x390	2	2
x391	2	2
x395	2	2
x397	2	2
x398	2	2
x400	2	2
x403	2	2
x405	2	2
x408	2	2
x410	2	2
x412	2	2
x416	2	2
x432	2	2
x433	2	2
x437	2	2
x438	2	2
x440	2	2
x441	2	2
x442	2	2
x448	2	2
x449	2	2
x454	2	2
x455	2	2
x461	2	2
x464	2	2
x470	2	2
x477	2	2
x480	2	2
x487	2	2
x490	2	2
x501	2	2
x502	2	2
x506	2	2
x507	2	2
x508	2	2
x513	2	2
x518	2	2
x525	2	2
x530	2	2
x531	2	2
x537	2	2
x538	2	2
x539	2	2
x547	2	2
x548	2	2
x559	2	2
x565	2	2
x567	2	2
x569	2	2
x574	2	2
x579	2	2
x580	2	2
x586	2	2
x591	2	2
x597	2	2
x602	2	2
x605	2	2
x606	2	2
x610	2	2
x611	2	2
x613	2	2
x618	2	2
x621	2	2
x623	2	2
x626	2	2
x633	2	2
x634	2	2
x636	2	2
x637	2	2
x639	2	2
x641	2	2
x646	2	2
x649	2	2
x651	2	2
x658	2	2
x659	2	2
x662	2	2
x667	2	2
x668	2	2
x669	2	2
x680	2	2
x683	2	2
x687	2	2
x690	2	2
x694	2	2
x705	2	2
x706	2	2
x708	2	2
x712	2	2
x713	2	2
x724	2	2
x732	2	2
x734	2	2
x739	2	2
x743	2	2
x746	2	2
x749	2	2
x754	2	2
x763	2	2
x765	2	2
x770	2	2
x772	2	2
x777	2	2
x778	2	2
x781	2	2
x783	2	2
x784	2	2
x786	2	2
x790	2	2
x798	2	2
x799	2	2
x803	2	2
x806	2	2
x807	2	2
x808	2	2
x811	2	2
x815	2	2
x824	2	2
x825	2	2
x830	2	2
x831	2	2
x832	2	2
x833	2	2
x835	2	2
x839	2	2
x846	2	2
x850	2	2
x859	2	2
x868	2	2
x873	2	2
x880	2	2
x886	2	2
x888	2	2
x892	2	2
x893	2	2
x894	2	2
x896	2	2
x897	2	2
x901	2	2
x902	2	2
x903	2	2
x904	2	2
x920	2	2
x921	2	2
x922	2	2
x924	2	2
x930	2	2
x932	2	2
x934	2	2
x938	2	2
x941	2	2
x942	2	2
x945	2	2
x946	2	2
x948	2	2
x949	2	2
x952	2	2
x954	2	2
x957	2	2
x959	2	2
x961	2	2
x964	2	2
x966	2	2
x968	2	2
x971	2	2
x986	2	2
x987	2	2
x997	2	2

Context: 12
X	y4	y36
x4	2	2
x9	2	2
x22	2	2
x24	2	2
x28	2	2
x31	2	2
x36	2	2
