Number of planted triclusters: 5
Tricluster coverage: 0.35708%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(390, 3, 3), X=[0,1,2,5,6,15,19,25,27,29,33,36,37,40,41,42,46,48,51,53,55,57,60,61,63,68,69,75,77,79,82,83,84,86,87,92,95,96,107,110,111,115,116,118,121,122,123,128,130,131,132,134,135,138,139,142,144,156,158,161,162,165,166,169,170,172,173,174,176,177,179,182,185,186,188,191,192,195,200,201,203,204,205,206,207,208,211,212,213,215,216,218,221,225,233,238,239,240,245,247,248,252,253,260,261,263,264,265,266,267,268,269,271,273,275,277,278,282,287,288,292,293,297,298,299,300,302,306,309,312,315,317,321,322,326,327,328,330,332,335,340,344,346,351,354,357,358,359,366,368,371,372,379,380,381,385,388,389,390,392,393,400,401,408,428,431,434,438,444,447,449,454,458,461,462,463,466,471,473,479,480,482,486,488,493,494,496,499,500,501,504,505,506,510,511,512,515,516,524,526,533,535,536,537,539,542,543,547,550,554,555,556,557,558,561,571,575,582,583,584,585,586,587,588,589,590,591,596,597,599,600,601,604,605,612,616,619,626,628,629,630,632,634,637,639,640,642,647,652,654,655,658,659,660,661,665,666,667,668,673,677,678,680,682,683,684,686,689,691,696,697,698,699,701,702,706,708,710,714,716,720,722,723,724,727,728,729,733,734,738,742,743,745,747,748,749,750,754,757,762,764,770,771,775,777,780,786,788,795,798,800,803,806,808,809,811,822,823,826,827,833,836,838,839,843,846,850,852,854,858,860,861,863,871,873,874,875,876,879,881,883,884,888,893,894,895,896,900,903,904,906,909,910,911,912,915,918,920,921,923,927,929,930,932,937,938,945,947,949,951,952,953,954,955,959,963,964,965,966,967,971,972,978,981,983,989,990,992,993,999], Y=[16,27,31], Z=[26,27,28], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 26
X	y16	y27	y31
x0	3	3	3
x1	3	3	3
x2	3	3	3
x5	3	3	3
x6	3	3	3
x15	3	3	3
x19	3	3	3
x25	3	3	3
x27	3	3	3
x29	3	3	3
x33	3	3	3
x36	3	3	3
x37	3	3	3
x40	3	3	3
x41	3	3	3
x42	3	3	3
x46	3	3	3
x48	3	3	3
x51	3	3	3
x53	3	3	3
x55	3	3	3
x57	3	3	3
x60	3	3	3
x61	3	3	3
x63	3	3	3
x68	3	3	3
x69	3	3	3
x75	3	3	3
x77	3	3	3
x79	3	3	3
x82	3	3	3
x83	3	3	3
x84	3	3	3
x86	3	3	3
x87	3	3	3
x92	3	3	3
x95	3	3	3
x96	3	3	3
x107	3	3	3
x110	3	3	3
x111	3	3	3
x115	3	3	3
x116	3	3	3
x118	3	3	3
x121	3	3	3
x122	3	3	3
x123	3	3	3
x128	3	3	3
x130	3	3	3
x131	3	3	3
x132	3	3	3
x134	3	3	3
x135	3	3	3
x138	3	3	3
x139	3	3	3
x142	3	3	3
x144	3	3	3
x156	3	3	3
x158	3	3	3
x161	3	3	3
x162	3	3	3
x165	3	3	3
x166	3	3	3
x169	3	3	3
x170	3	3	3
x172	3	3	3
x173	3	3	3
x174	3	3	3
x176	3	3	3
x177	3	3	3
x179	3	3	3
x182	3	3	3
x185	3	3	3
x186	3	3	3
x188	3	3	3
x191	3	3	3
x192	3	3	3
x195	3	3	3
x200	3	3	3
x201	3	3	3
x203	3	3	3
x204	3	3	3
x205	3	3	3
x206	3	3	3
x207	3	3	3
x208	3	3	3
x211	3	3	3
x212	3	3	3
x213	3	3	3
x215	3	3	3
x216	3	3	3
x218	3	3	3
x221	3	3	3
x225	3	3	3
x233	3	3	3
x238	3	3	3
x239	3	3	3
x240	3	3	3
x245	3	3	3
x247	3	3	3
x248	3	3	3
x252	3	3	3
x253	3	3	3
x260	3	3	3
x261	3	3	3
x263	3	3	3
x264	3	3	3
x265	3	3	3
x266	3	3	3
x267	3	3	3
x268	3	3	3
x269	3	3	3
x271	3	3	3
x273	3	3	3
x275	3	3	3
x277	3	3	3
x278	3	3	3
x282	3	3	3
x287	3	3	3
x288	3	3	3
x292	3	3	3
x293	3	3	3
x297	3	3	3
x298	3	3	3
x299	3	3	3
x300	3	3	3
x302	3	3	3
x306	3	3	3
x309	3	3	3
x312	3	3	3
x315	3	3	3
x317	3	3	3
x321	3	3	3
x322	3	3	3
x326	3	3	3
x327	3	3	3
x328	3	3	3
x330	3	3	3
x332	3	3	3
x335	3	3	3
x340	3	3	3
x344	3	3	3
x346	3	3	3
x351	3	3	3
x354	3	3	3
x357	3	3	3
x358	3	3	3
x359	3	3	3
x366	3	3	3
x368	3	3	3
x371	3	3	3
x372	3	3	3
x379	3	3	3
x380	3	3	3
x381	3	3	3
x385	3	3	3
x388	3	3	3
x389	3	3	3
x390	3	3	3
x392	3	3	3
x393	3	3	3
x400	3	3	3
x401	3	3	3
x408	3	3	3
x428	3	3	3
x431	3	3	3
x434	3	3	3
x438	3	3	3
x444	3	3	3
x447	3	3	3
x449	3	3	3
x454	3	3	3
x458	3	3	3
x461	3	3	3
x462	3	3	3
x463	3	3	3
x466	3	3	3
x471	3	3	3
x473	3	3	3
x479	3	3	3
x480	3	3	3
x482	3	3	3
x486	3	3	3
