Number of planted triclusters: 5
Tricluster coverage: 0.35472%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(106, 3, 2), X=[11,29,32,67,90,95,97,115,126,161,162,181,216,218,221,254,262,279,281,294,303,315,320,325,331,338,339,347,358,361,371,372,379,381,389,395,397,398,417,423,429,446,457,466,471,481,484,492,515,518,521,527,530,531,536,540,551,554,562,577,589,592,596,599,603,608,621,625,628,629,639,645,648,650,656,659,662,678,689,700,709,730,738,763,770,780,783,794,820,822,834,837,840,851,862,866,868,903,940,956,963,970,971,975,976,996], Y=[12,24,26], Z=[22,23], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 22
X	y12	y24	y26
x11	4	4	4
x29	4	4	4
x32	4	4	4
x67	4	4	4
x90	4	4	4
x95	4	4	4
x97	4	4	4
x115	4	4	4
x126	4	4	4
x161	4	4	4
x162	4	4	4
x181	4	4	4
x216	4	4	4
x218	4	4	4
x221	4	4	4
x254	4	4	4
x262	4	4	4
x279	4	4	4
x281	4	4	4
x294	4	4	4
x303	4	4	4
x315	4	4	4
x320	4	4	4
x325	4	4	4
x331	4	4	4
x338	4	4	4
x339	4	4	4
x347	4	4	4
x358	4	4	4
x361	4	4	4
x371	4	4	4
x372	4	4	4
x379	4	4	4
x381	4	4	4
x389	4	4	4
x395	4	4	4
x397	4	4	4
x398	4	4	4
x417	4	4	4
x423	4	4	4
x429	4	4	4
x446	4	4	4
x457	4	4	4
x466	4	4	4
x471	4	4	4
x481	4	4	4
x484	4	4	4
x492	4	4	4
x515	4	4	4
x518	4	4	4
x521	4	4	4
x527	4	4	4
x530	4	4	4
x531	4	4	4
x536	4	4	4
x540	4	4	4
x551	4	4	4
x554	4	4	4
x562	4	4	4
x577	4	4	4
x589	4	4	4
x592	4	4	4
x596	4	4	4
x599	4	4	4
x603	4	4	4
x608	4	4	4
x621	4	4	4
x625	4	4	4
x628	4	4	4
x629	4	4	4
x639	4	4	4
x645	4	4	4
x648	4	4	4
x650	4	4	4
x656	4	4	4
x659	4	4	4
x662	4	4	4
x678	4	4	4
x689	4	4	4
x700	4	4	4
x709	4	4	4
x730	4	4	4
x738	4	4	4
x763	4	4	4
x770	4	4	4
x780	4	4	4
x783	4	4	4
x794	4	4	4
x820	4	4	4
x822	4	4	4
x834	4	4	4
x837	4	4	4
x840	4	4	4
x851	4	4	4
x862	4	4	4
x866	4	4	4
x868	4	4	4
x903	4	4	4
x940	4	4	4
x956	4	4	4
x963	4	4	4
x970	4	4	4
x971	4	4	4
x975	4	4	4
x976	4	4	4
x996	4	4	4

Context: 23
X	y12	y24	y26
x11	4	4	4
x29	4	4	4
x32	4	4	4
x67	4	4	4
x90	4	4	4
x95	4	4	4
x97	4	4	4
x115	4	4	4
x126	4	4	4
x161	4	4	4
x162	4	4	4
x181	4	4	4
x216	4	4	4
x218	4	4	4
x221	4	4	4
x254	4	4	4
x262	4	4	4
x279	4	4	4
x281	4	4	4
x294	4	4	4
x303	4	4	4
x315	4	4	4
x320	4	4	4
x325	4	4	4
x331	4	4	4
x338	4	4	4
x339	4	4	4
x347	4	4	4
x358	4	4	4
x361	4	4	4
x371	4	4	4
x372	4	4	4
x379	4	4	4
x381	4	4	4
x389	4	4	4
x395	4	4	4
x397	4	4	4
x398	4	4	4
x417	4	4	4
x423	4	4	4
x429	4	4	4
x446	4	4	4
x457	4	4	4
x466	4	4	4
x471	4	4	4
x481	4	4	4
x484	4	4	4
x492	4	4	4
x515	4	4	4
x518	4	4	4
x521	4	4	4
x527	4	4	4
x530	4	4	4
x531	4	4	4
x536	4	4	4
x540	4	4	4
x551	4	4	4
x554	4	4	4
x562	4	4	4
x577	4	4	4
x589	4	4	4
x592	4	4	4
x596	4	4	4
x599	4	4	4
x603	4	4	4
x608	4	4	4
x621	4	4	4
x625	4	4	4
x628	4	4	4
x629	4	4	4
x639	4	4	4
x645	4	4	4
x648	4	4	4
x650	4	4	4
x656	4	4	4
x659	4	4	4
x662	4	4	4
x678	4	4	4
x689	4	4	4
x700	4	4	4
x709	4	4	4
x730	4	4	4
x738	4	4	4
x763	4	4	4
x770	4	4	4
x780	4	4	4
x783	4	4	4
x794	4	4	4
x820	4	4	4
x822	4	4	4
x834	4	4	4
x837	4	4	4
x840	4	4	4
x851	4	4	4
x862	4	4	4
x866	4	4	4
x868	4	4	4
x903	4	4	4
x940	4	4	4
x956	4	4	4
x963	4	4	4
x970	4	4	4
x971	4	4	4
x975	4	4	4
x976	4	4	4
x996	4	4	4

(86, 2, 3), X=[11,27,33,41,60,82,92,105,111,117,118,130,133,141,149,158,192,199,207,217,236,238,242,243,252,267,272,276,293,298,308,319,322,330,331,334,352,355,415,445,479,484,532,536,537,545,548,565,574,576,590,654,662,663,665,675,676,691,694,699,712,768,775,785,793,812,844,850,875,877,881,882,888,908,909,915,926,953,962,964,979,981,987,991,995,999], Y=[10,43], Z=[18,19,20], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 18
X	y10	y43
x11	5	5
x27	5	5
x33	5	5
x41	5	5
x60	5	5
x82	5	5
x92	5	5
x105	5	5
x111	5	5
x117	5	5
x118	5	5
x130	5	5
x133	5	5
x141	5	5
x149	5	5
x158	5	5
x192	5	5
x199	5	5
x207	5	5
x217	5	5
x236	5	5
x238	5	5
x242	5	5
x243	5	5
x252	5	5
x267	5	5
x272	5	5
x276	5	5
x293	5	5
x298	5	5
x308	5	5
x319	5	5
x322	5	5
x330	5	5
x331	5	5
x334	5	5
x352	5	5
x355	5	5
x415	5	5
x445	5	5
x479	5	5
x484	5	5
x532	5	5
x536	5	5
x537	5	5
x545	5	5
x548	5	5
x565	5	5
x574	5	5
x576	5	5
x590	5	5
x654	5	5
x662	5	5
x663	5	5
x665	5	5
x675	5	5
x676	5	5
x691	5	5
x694	5	5
x699	5	5
x712	5	5
x768	5	5
x775	5	5
x785	5	5
x793	5	5
x812	5	5
x844	5	5
x850	5	5
x875	5	5
x877	5	5
x881	5	5
x882	5	5
x888	5	5
x908	5	5
x909	5	5
x915	5	5
x926	5	5
x953	5	5
x962	5	5
x964	5	5
x979	5	5
x981	5	5
x987	5	5
x991	5	5
x995	5	5
x999	5	5

Context: 19
X	y10	y43
x11	5	5
x27	5	5
x33	5	5
x41	5	5
x60	5	5
x82	5	5
x92	5	5
x105	5	5
x111	5	5
x117	5	5
x118	5	5
x130	5	5
x133	5	5
x141	5	5
x149	5	5
x158	5	5
x192	5	5
x199	5	5
x207	5	5
x217	5	5
x236	5	5
x238	5	5
x242	5	5
x243	5	5
x252	5	5
x267	5	5
x272	5	5
x276	5	5
x293	5	5
