Number of planted triclusters: 5
Tricluster coverage: 0.47352%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(107, 3, 3), X=[10,22,26,40,54,57,61,63,66,69,78,83,89,94,110,113,114,118,119,124,135,156,162,164,165,166,173,186,204,216,238,240,246,253,265,267,268,271,291,315,322,329,334,338,340,342,351,354,379,390,396,398,405,429,441,482,497,504,514,537,539,545,548,551,555,566,580,600,629,643,645,646,650,656,660,662,675,685,695,706,711,720,724,731,791,802,809,814,828,849,859,879,885,903,922,923,924,929,945,957,964,976,981,985,989,996,998], Y=[29,39,46], Z=[11,15,32], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 11
X	y29	y39	y46
x10	0	0	0
x22	0	0	0
x26	0	0	0
x40	0	0	0
x54	0	0	0
x57	0	0	0
x61	0	0	0
x63	0	0	0
x66	0	0	0
x69	0	0	0
x78	0	0	0
x83	0	0	0
x89	0	0	0
x94	0	0	0
x110	0	0	0
x113	0	0	0
x114	0	0	0
x118	0	0	0
x119	0	0	0
x124	0	0	0
x135	0	0	0
x156	0	0	0
x162	0	0	0
x164	0	0	0
x165	0	0	0
x166	0	0	0
x173	0	0	0
x186	0	0	0
x204	0	0	0
x216	0	0	0
x238	0	0	0
x240	0	0	0
x246	0	0	0
x253	0	0	0
x265	0	0	0
x267	0	0	0
x268	0	0	0
x271	0	0	0
x291	0	0	0
x315	0	0	0
x322	0	0	0
x329	0	0	0
x334	0	0	0
x338	0	0	0
x340	0	0	0
x342	0	0	0
x351	0	0	0
x354	0	0	0
x379	0	0	0
x390	0	0	0
x396	0	0	0
x398	0	0	0
x405	0	0	0
x429	0	0	0
x441	0	0	0
x482	0	0	0
x497	0	0	0
x504	0	0	0
x514	0	0	0
x537	0	0	0
x539	0	0	0
x545	0	0	0
x548	0	0	0
x551	0	0	0
x555	0	0	0
x566	0	0	0
x580	0	0	0
x600	0	0	0
x629	0	0	0
x643	0	0	0
x645	0	0	0
x646	0	0	0
x650	0	0	0
x656	0	0	0
x660	0	0	0
x662	0	0	0
x675	0	0	0
x685	0	0	0
x695	0	0	0
x706	0	0	0
x711	0	0	0
x720	0	0	0
x724	0	0	0
x731	0	0	0
x791	0	0	0
x802	0	0	0
x809	0	0	0
x814	0	0	0
x828	0	0	0
x849	0	0	0
x859	0	0	0
x879	0	0	0
x885	0	0	0
x903	0	0	0
x922	0	0	0
x923	0	0	0
x924	0	0	0
x929	0	0	0
x945	0	0	0
x957	0	0	0
x964	0	0	0
x976	0	0	0
x981	0	0	0
x985	0	0	0
x989	0	0	0
x996	0	0	0
x998	0	0	0

Context: 15
X	y29	y39	y46
x10	0	0	0
x22	0	0	0
x26	0	0	0
x40	0	0	0
x54	0	0	0
x57	0	0	0
x61	0	0	0
x63	0	0	0
x66	0	0	0
x69	0	0	0
x78	0	0	0
x83	0	0	0
x89	0	0	0
x94	0	0	0
x110	0	0	0
x113	0	0	0
x114	0	0	0
x118	0	0	0
x119	0	0	0
x124	0	0	0
x135	0	0	0
x156	0	0	0
x162	0	0	0
x164	0	0	0
x165	0	0	0
x166	0	0	0
x173	0	0	0
x186	0	0	0
x204	0	0	0
x216	0	0	0
x238	0	0	0
x240	0	0	0
x246	0	0	0
x253	0	0	0
x265	0	0	0
x267	0	0	0
x268	0	0	0
x271	0	0	0
x291	0	0	0
x315	0	0	0
x322	0	0	0
x329	0	0	0
x334	0	0	0
x338	0	0	0
x340	0	0	0
x342	0	0	0
x351	0	0	0
x354	0	0	0
x379	0	0	0
x390	0	0	0
x396	0	0	0
x398	0	0	0
