Number of planted triclusters: 5
Tricluster coverage: 0.30144%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(269, 2, 3), X=[1,3,17,20,24,30,31,33,36,37,38,41,47,50,51,61,62,66,68,72,80,81,83,86,88,89,90,92,93,97,100,104,110,121,124,131,134,135,139,143,145,149,153,155,159,164,170,171,172,173,174,180,183,189,193,195,197,201,204,207,211,215,216,219,222,225,226,227,229,231,232,241,248,249,253,260,263,268,269,272,274,280,282,283,286,288,293,295,298,307,308,311,313,320,322,326,327,328,331,332,338,340,342,345,349,352,354,360,364,365,366,367,369,372,376,378,380,381,389,392,400,401,402,406,409,412,413,418,421,425,427,430,431,434,439,446,448,456,465,474,480,485,487,496,500,509,511,513,518,521,528,532,535,539,542,543,555,577,583,587,603,609,617,623,625,626,642,646,648,650,653,655,656,660,663,669,672,677,678,681,684,690,696,699,702,706,712,713,714,715,716,722,730,732,733,735,737,738,742,746,750,754,755,760,763,766,770,773,779,796,800,802,803,804,805,807,808,809,810,813,824,825,831,832,833,840,843,844,845,847,851,853,854,858,859,868,872,873,895,896,900,904,907,908,913,915,923,928,930,934,935,943,951,957,960,962,964,965,967,974,975,977,980,983,986,988,989,990,997], Y=[4,15], Z=[9,24,48], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 9
X	y4	y15
x1	0	0
x3	0	0
x17	0	0
x20	0	0
x24	0	0
x30	0	0
x31	0	0
x33	0	0
x36	0	0
x37	0	0
x38	0	0
x41	0	0
x47	0	0
x50	0	0
x51	0	0
x61	0	0
x62	0	0
x66	0	0
x68	0	0
x72	0	0
x80	0	0
x81	0	0
x83	0	0
x86	0	0
x88	0	0
x89	0	0
x90	0	0
x92	0	0
x93	0	0
x97	0	0
x100	0	0
x104	0	0
x110	0	0
x121	0	0
x124	0	0
x131	0	0
x134	0	0
x135	0	0
x139	0	0
x143	0	0
x145	0	0
x149	0	0
x153	0	0
x155	0	0
x159	0	0
x164	0	0
x170	0	0
x171	0	0
x172	0	0
x173	0	0
x174	0	0
x180	0	0
x183	0	0
x189	0	0
x193	0	0
x195	0	0
x197	0	0
x201	0	0
x204	0	0
x207	0	0
x211	0	0
x215	0	0
x216	0	0
x219	0	0
x222	0	0
x225	0	0
x226	0	0
x227	0	0
x229	0	0
x231	0	0
x232	0	0
x241	0	0
x248	0	0
x249	0	0
x253	0	0
x260	0	0
x263	0	0
x268	0	0
x269	0	0
x272	0	0
x274	0	0
x280	0	0
x282	0	0
x283	0	0
x286	0	0
x288	0	0
x293	0	0
x295	0	0
x298	0	0
x307	0	0
x308	0	0
x311	0	0
x313	0	0
x320	0	0
x322	0	0
x326	0	0
x327	0	0
x328	0	0
x331	0	0
x332	0	0
x338	0	0
x340	0	0
x342	0	0
x345	0	0
x349	0	0
x352	0	0
x354	0	0
x360	0	0
x364	0	0
x365	0	0
x366	0	0
x367	0	0
x369	0	0
x372	0	0
x376	0	0
x378	0	0
x380	0	0
x381	0	0
x389	0	0
x392	0	0
x400	0	0
x401	0	0
x402	0	0
x406	0	0
x409	0	0
x412	0	0
x413	0	0
x418	0	0
x421	0	0
x425	0	0
x427	0	0
x430	0	0
x431	0	0
x434	0	0
