Number of planted triclusters: 50
Tricluster coverage: 4.43856%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


(68, 8, 5), X=[27,60,72,87,97,100,103,110,129,138,149,152,162,177,180,193,198,217,233,260,287,316,353,367,408,448,452,475,483,486,497,506,522,523,548,580,581,587,590,598,600,610,614,628,639,670,677,684,687,701,716,729,747,788,790,798,803,806,867,870,871,882,906,913,922,923,950,996], Y=[0,1,6,9,23,27,28,46], Z=[7,9,13,24,43], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0 PlaidCoherency=None

Context: 7
X	y0	y1	y6	y9	y23	y27	y28	y46
x27	5	5	5	5	5	5	5	5
x60	5	5	5	5	5	5	5	5
x72	5	5	5	5	5	5	5	5
x87	5	5	5	5	5	5	5	5
x97	5	5	5	5	5	5	5	5
x100	5	5	5	5	5	5	5	5
x103	5	5	5	5	5	5	5	5
x110	5	5	5	5	5	5	5	5
x129	5	5	5	5	5	5	5	5
x138	5	5	5	5	5	5	5	5
x149	5	5	5	5	5	5	5	5
x152	5	5	5	5	5	5	5	5
x162	5	5	5	5	5	5	5	5
x177	5	5	5	5	5	5	5	5
x180	5	5	5	5	5	5	5	5
x193	5	5	5	5	5	5	5	5
x198	5	5	5	5	5	5	5	5
x217	5	5	5	5	5	5	5	5
x233	5	5	5	5	5	5	5	5
x260	5	5	5	5	5	5	5	5
x287	5	5	5	5	5	5	5	5
x316	5	5	5	5	5	5	5	5
x353	5	5	5	5	5	5	5	5
x367	5	5	5	5	5	5	5	5
x408	5	5	5	5	5	5	5	5
x448	5	5	5	5	5	5	5	5
x452	5	5	5	5	5	5	5	5
x475	5	5	5	5	5	5	5	5
x483	5	5	5	5	5	5	5	5
x486	5	5	5	5	5	5	5	5
x497	5	5	5	5	5	5	5	5
x506	5	5	5	5	5	5	5	5
x522	5	5	5	5	5	5	5	5
x523	5	5	5	5	5	5	5	5
x548	5	5	5	5	5	5	5	5
x580	5	5	5	5	5	5	5	5
x581	5	5	5	5	5	5	5	5
x587	5	5	5	5	5	5	5	5
x590	5	5	5	5	5	5	5	5
x598	5	5	5	5	5	5	5	5
x600	5	5	5	5	5	5	5	5
x610	5	5	5	5	5	5	5	5
x614	5	5	5	5	5	5	5	5
x628	5	5	5	5	5	5	5	5
x639	5	5	5	5	5	5	5	5
x670	5	5	5	5	5	5	5	5
x677	5	5	5	5	5	5	5	5
x684	5	5	5	5	5	5	5	5
x687	5	5	5	5	5	5	5	5
x701	5	5	5	5	5	5	5	5
x716	5	5	5	5	5	5	5	5
x729	5	5	5	5	5	5	5	5
x747	5	5	5	5	5	5	5	5
x788	5	5	5	5	5	5	5	5
x790	5	5	5	5	5	5	5	5
x798	5	5	5	5	5	5	5	5
x803	5	5	5	5	5	5	5	5
x806	5	5	5	5	5	5	5	5
x867	5	5	5	5	5	5	5	5
x870	5	5	5	5	5	5	5	5
x871	5	5	5	5	5	5	5	5
x882	5	5	5	5	5	5	5	5
x906	5	5	5	5	5	5	5	5
x913	5	5	5	5	5	5	5	5
x922	5	5	5	5	5	5	5	5
x923	5	5	5	5	5	5	5	5
x950	5	5	5	5	5	5	5	5
x996	5	5	5	5	5	5	5	5

Context: 9
X	y0	y1	y6	y9	y23	y27	y28	y46
x27	5	5	5	5	5	5	5	5
x60	5	5	5	5	5	5	5	5
x72	5	5	5	5	5	5	5	5
x87	5	5	5	5	5	5	5	5
x97	5	5	5	5	5	5	5	5
x100	5	5	5	5	5	5	5	5
x103	5	5	5	5	5	5	5	5
x110	5	5	5	5	5	5	5	5
x129	5	5	5	5	5	5	5	5
x138	5	5	5	5	5	5	5	5
x149	5	5	5	5	5	5	5	5
x152	5	5	5	5	5	5	5	5
x162	5	5	5	5	5	5	5	5
x177	5	5	5	5	5	5	5	5
x180	5	5	5	5	5	5	5	5
x193	5	5	5	5	5	5	5	5
x198	5	5	5	5	5	5	5	5
x217	5	5	5	5	5	5	5	5
x233	5	5	5	5	5	5	5	5
x260	5	5	5	5	5	5	5	5
x287	5	5	5	5	5	5	5	5
x316	5	5	5	5	5	5	5	5
x353	5	5	5	5	5	5	5	5
x367	5	5	5	5	5	5	5	5
x408	5	5	5	5	5	5	5	5
x448	5	5	5	5	5	5	5	5
x452	5	5	5	5	5	5	5	5
x475	5	5	5	5	5	5	5	5
x483	5	5	5	5	5	5	5	5
x486	5	5	5	5	5	5	5	5
x497	5	5	5	5	5	5	5	5
x506	5	5	5	5	5	5	5	5
x522	5	5	5	5	5	5	5	5
x523	5	5	5	5	5	5	5	5
x548	5	5	5	5	5	5	5	5
x580	5	5	5	5	5	5	5	5
x581	5	5	5	5	5	5	5	5
x587	5	5	5	5	5	5	5	5
x590	5	5	5	5	5	5	5	5
x598	5	5	5	5	5	5	5	5
x600	5	5	5	5	5	5	5	5
x610	5	5	5	5	5	5	5	5
x614	5	5	5	5	5	5	5	5
x628	5	5	5	5	5	5	5	5
x639	5	5	5	5	5	5	5	5
x670	5	5	5	5	5	5	5	5
x677	5	5	5	5	5	5	5	5
x684	5	5	5	5	5	5	5	5
x687	5	5	5	5	5	5	5	5
x701	5	5	5	5	5	5	5	5
x716	5	5	5	5	5	5	5	5
x729	5	5	5	5	5	5	5	5
x747	5	5	5	5	5	5	5	5
x788	5	5	5	5	5	5	5	5
x790	5	5	5	5	5	5	5	5
x798	5	5	5	5	5	5	5	5
x803	5	5	5	5	5	5	5	5
x806	5	5	5	5	5	5	5	5
x867	5	5	5	5	5	5	5	5
x870	5	5	5	5	5	5	5	5
x871	5	5	5	5	5	5	5	5
x882	5	5	5	5	5	5	5	5
x906	5	5	5	5	5	5	5	5
x913	5	5	5	5	5	5	5	5
x922	5	5	5	5	5	5	5	5
x923	5	5	5	5	5	5	5	5
x950	5	5	5	5	5	5	5	5
x996	5	5	5	5	5	5	5	5

Context: 13
X	y0	y1	y6	y9	y23	y27	y28	y46
x27	5	5	5	5	5	5	5	5
x60	5	5	5	5	5	5	5	5
x72	5	5	5	5	5	5	5	5
x87	5	5	5	5	5	5	5	5
x97	5	5	5	5	5	5	5	5
x100	5	5	5	5	5	5	5	5
x103	5	5	5	5	5	5	5	5
x110	5	5	5	5	5	5	5	5
x129	5	5	5	5	5	5	5	5
x138	5	5	5	5	5	5	5	5
x149	5	5	5	5	5	5	5	5
x152	5	5	5	5	5	5	5	5
x162	5	5	5	5	5	5	5	5
x177	5	5	5	5	5	5	5	5
x180	5	5	5	5	5	5	5	5
x193	5	5	5	5	5	5	5	5
x198	5	5	5	5	5	5	5	5
x217	5	5	5	5	5	5	5	5
x233	5	5	5	5	5	5	5	5
x260	5	5	5	5	5	5	5	5
x287	5	5	5	5	5	5	5	5
x316	5	5	5	5	5	5	5	5
x353	5	5	5	5	5	5	5	5
