,Aeration rate(Fg:L/h),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),pH(pH:pH),Temperature(T:K),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),Oil flow(Foil:L/hr),Oxygen in percent in off-gas(O2:O2  (%))
2200,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,5.0,0.0,1.0,5.0,0.0,0.0,5.0,6.0
2201,0.0,0.0,5.0,5.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,6.0,0.0,0.0,5.0,5.0
2202,0.0,4.0,5.0,6.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0
2203,0.0,0.0,4.0,4.0,5.0,0.0,2.0,2.0,2.0,0.0,1.0,4.0,1.0,0.0,6.0,3.0
2204,1.0,0.0,0.0,5.0,6.0,0.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,0.0,6.0,2.0
2205,1.0,0.0,0.0,5.0,6.0,5.0,6.0,2.0,3.0,1.0,4.0,6.0,2.0,0.0,6.0,3.0
2206,1.0,1.0,0.0,5.0,4.0,6.0,6.0,2.0,5.0,1.0,5.0,4.0,3.0,0.0,6.0,2.0
2207,1.0,3.0,0.0,4.0,1.0,6.0,6.0,2.0,6.0,1.0,3.0,2.0,5.0,0.0,5.0,1.0
2208,1.0,5.0,0.0,5.0,5.0,3.0,6.0,2.0,5.0,2.0,2.0,5.0,6.0,0.0,5.0,0.0
2209,2.0,4.0,5.0,4.0,3.0,1.0,6.0,4.0,5.0,2.0,6.0,3.0,6.0,0.0,1.0,0.0
2210,4.0,4.0,0.0,3.0,1.0,1.0,6.0,1.0,5.0,2.0,3.0,3.0,5.0,0.0,1.0,1.0
2211,4.0,4.0,0.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,0.0,3.0,5.0,0.0,1.0,1.0
2212,4.0,4.0,0.0,4.0,0.0,1.0,4.0,1.0,1.0,3.0,4.0,2.0,6.0,0.0,1.0,0.0
2213,4.0,4.0,0.0,3.0,1.0,1.0,4.0,0.0,2.0,3.0,4.0,1.0,6.0,0.0,1.0,0.0
2214,4.0,4.0,5.0,5.0,1.0,1.0,4.0,0.0,1.0,4.0,0.0,1.0,5.0,0.0,1.0,1.0
2215,4.0,4.0,0.0,6.0,1.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,1.0
2216,4.0,4.0,5.0,6.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,1.0,5.0,0.0,1.0,2.0
2217,4.0,3.0,0.0,6.0,2.0,5.0,2.0,1.0,1.0,5.0,0.0,2.0,4.0,0.0,1.0,4.0
2218,4.0,2.0,5.0,6.0,3.0,5.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,0.0,1.0,5.0
2219,4.0,2.0,4.0,6.0,3.0,3.0,2.0,1.0,2.0,5.0,0.0,2.0,3.0,0.0,1.0,5.0
2220,4.0,2.0,6.0,6.0,2.0,3.0,2.0,1.0,2.0,5.0,0.0,1.0,3.0,0.0,1.0,5.0
2221,4.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,5.0,6.0,1.0,3.0,0.0,1.0,5.0
2222,3.0,2.0,4.0,2.0,3.0,5.0,2.0,1.0,2.0,5.0,6.0,1.0,4.0,0.0,1.0,4.0
2223,3.0,2.0,4.0,5.0,2.0,5.0,2.0,1.0,3.0,5.0,0.0,0.0,3.0,0.0,1.0,5.0
2224,3.0,2.0,0.0,6.0,3.0,5.0,2.0,1.0,4.0,5.0,2.0,2.0,3.0,0.0,1.0,5.0
